"Date,""Weight (kg)"",""Fat mass (kg)"",""Bone mass (kg)"",""Muscle mass (kg)"",""Hydration (kg)"",Comments"
2026-06-27 08:15:41,68.59,19.4,2.5,46.6,31.5,
2026-06-26 06:57:01,68.76,19.6,2.50,46.7,31.7,
2026-06-25 07:01:41,69.63,19.73,2.52,47.36,32.39,
2026-06-23 06:57:01,68.80,19.41,2.50,46.87,32.21,
2026-06-22 06:43:04,69.19,19.59,2.51,47.08,32.30,
2026-06-21 08:44:55,69.05,19.42,2.51,47.11,32.61,
2026-06-20 07:44:24,69.06,19.41,2.51,47.13,32.48,
2026-06-19 06:57:42,67.99,19.04,2.47,46.46,31.45,
2026-06-18 07:17:20,67.97,18.99,2.47,46.49,31.50,
2026-06-17 07:57:38,67.93,18.86,2.48,46.57,31.84,
2026-06-16 08:43:31,68.13,18.95,2.49,46.69,31.75,
2026-06-15 07:49:05,68.24,19.18,2.48,46.57,31.70,
2026-06-14 09:07:51,67.89,18.74,2.48,46.65,32.12,
2026-06-13 08:44:14,67.77,18.86,2.47,46.42,31.56,
2026-06-12 08:52:52,68.01,19.00,2.48,46.51,31.80,
2026-06-11 07:43:42,68.37,19.25,2.48,46.62,31.93,
2026-06-10 07:06:16,68.14,19.20,2.47,46.45,31.80,
2026-06-09 07:22:21,68.28,19.08,2.49,46.70,32.01,
2026-06-08 06:59:44,68.60,19.52,2.48,46.58,31.73,
2026-06-07 07:11:56,68.53,19.53,2.48,46.52,31.63,
2026-06-06 07:33:31,68.13,19.23,2.47,46.42,31.35,
2026-06-05 06:51:27,67.98,19.01,2.48,46.48,31.89,
2026-06-04 07:29:53,67.58,18.93,2.46,46.17,31.24,
2026-06-03 07:26:01,67.26,18.90,2.44,45.90,30.69,
2026-06-02 07:32:17,67.70,19.02,2.46,46.21,31.21,
2026-06-01 06:43:56,68.82,19.47,2.50,46.85,32.27,
2026-05-10 07:15:47,66.91,18.10,2.47,46.32,31.61,
2026-05-06 07:29:17,66.93,18.41,2.45,46.05,31.23,
2026-05-05 06:24:56,67.20,18.36,2.47,46.35,31.45,
2026-05-04 06:43:30,67.46,17.95,2.50,47.00,32.77,
2026-04-17 07:26:30,68.27,18.75,2.50,47.00,32.76,
2026-04-16 06:43:48,68.32,18.86,2.50,46.95,32.33,
2026-04-15 07:07:03,67.98,18.80,2.49,46.68,32.05,
2026-04-14 06:53:47,67.27,18.71,2.45,46.09,31.15,
2026-04-13 07:35:06,67.98,18.95,2.48,46.53,32.00,
2026-04-12 07:11:09,68.72,19.10,2.51,47.10,32.62,
2026-04-09 08:32:57,67.44,18.61,2.47,46.34,31.40,
2026-04-08 07:36:29,67.72,18.59,2.48,46.63,31.69,
2026-04-07 07:37:53,68.24,18.98,2.49,46.76,31.95,
2026-04-06 07:38:03,68.18,18.85,2.49,46.82,32.34,
2026-04-04 07:00:57,67.69,18.35,2.49,46.83,32.49,
2026-04-03 08:05:18,67.44,18.24,2.49,46.69,32.19,
2026-04-02 06:31:48,67.72,18.43,2.49,46.78,32.36,
2026-04-01 07:39:38,67.75,18.44,2.49,46.80,32.12,
2026-03-30 08:04:24,67.80,18.69,2.48,46.62,31.95,
2026-03-27 07:21:57,67.21,18.27,2.47,46.45,31.55,
2026-03-26 07:52:55,66.84,18.21,2.46,46.16,31.24,
2026-03-25 08:14:25,66.93,18.21,2.46,46.24,31.39,
2026-03-24 07:22:15,67.84,18.64,2.49,46.70,31.93,
2026-03-23 07:41:41,67.73,18.54,2.49,46.68,32.06,
2026-03-21 07:20:37,67.54,18.36,2.49,46.67,32.06,
2026-03-20 06:03:49,67.95,18.69,2.49,46.76,32.15,
2026-03-19 07:39:52,67.69,18.40,2.49,46.78,32.18,
2026-03-18 07:24:42,67.39,18.27,2.48,46.62,31.96,
2026-03-17 06:40:15,67.61,18.50,2.48,46.61,31.87,
2026-03-16 07:27:07,67.34,18.32,2.48,46.52,31.64,
2026-03-15 06:56:54,67.40,18.30,2.48,46.60,32.11,
2026-03-14 07:21:59,67.95,18.39,2.51,47.05,32.61,
2026-03-13 07:28:28,67.35,18.14,2.49,46.71,32.28,
2026-03-12 07:30:06,66.93,17.99,2.47,46.45,31.79,
2026-03-11 07:42:02,66.84,18.07,2.47,46.30,31.63,
2026-03-10 07:07:01,67.13,18.26,2.47,46.39,31.65,
2026-03-09 08:30:07,67.35,18.20,2.48,46.65,31.90,
2026-03-08 07:03:45,66.76,17.61,2.48,46.65,32.16,
2026-03-07 07:51:15,66.62,17.95,2.46,46.19,31.57,
2026-03-06 06:26:45,66.72,17.95,2.46,46.29,31.54,
2026-03-05 06:37:37,67.05,18.24,2.47,46.32,31.78,
2026-03-04 08:04:50,66.97,18.02,2.47,46.46,31.97,
2026-03-03 07:12:14,67.45,18.25,2.49,46.69,32.17,
2026-03-02 07:50:31,67.98,18.59,2.50,46.88,32.52,
2026-02-28 08:17:31,66.93,17.99,2.47,46.46,32.02,
